iter	Passed	Remaining
412	3141	4465
413	3147	4455
414	3152	4444
415	3161	4438
416	3170	4433
417	3187	4438
418	3192	4427
419	3203	4423
420	3210	4414
421	3215	4404
422	3222	4395
423	3230	4388
424	3237	4379
425	3246	4374
426	3252	4364
427	3256	4351
428	3260	4339
429	3265	4329
430	3275	4324
431	3281	4314
432	3293	4312
433	3306	4311
434	3311	4300
435	3316	4289
436	3322	4280
437	3328	4270
438	3337	4265
439	3342	4254
440	3348	4245
441	3357	4238
442	3362	4228
443	3369	4219
444	3375	4209
445	3383	4203
446	3388	4191
447	3395	4184
448	3404	4178
449	3417	4176
450	3426	4170
451	3433	4163
452	3438	4152
453	3444	4142
454	3451	4133
455	3456	4123
456	3461	4112
457	3470	4107
458	3481	4103
459	3488	4095
460	3492	4083
461	3498	4073
462	3512	4073
463	3523	4070
464	3532	4063
465	3540	4056
466	3548	4049
467	3554	4040
468	3559	4030
469	3575	4032
470	3586	4028
471	3602	4029
472	3619	4032
473	3638	4037
474	3649	4033
475	3659	4028
476	3675	4030
477	3689	4029
478	3696	4020
479	3705	4013
480	3714	4008
481	3722	4000
482	3733	3996
483	3740	3987
484	3746	3977
485	3754	3970
486	3760	3961
487	3770	3956
488	3779	3950
489	3787	3942
490	3794	3933
491	3802	3925
492	3808	3916
493	3817	3909
494	3824	3901
495	3830	3892
496	3835	3882
497	3846	3877
498	3853	3869
499	3859	3859
500	3868	3852
501	3874	3844
502	3882	3836
503	3887	3826
504	3893	3816
505	3897	3804
506	3906	3798
507	3912	3789
508	3920	3781
509	3939	3784
510	3952	3782
511	3961	3776
512	3969	3768
513	3979	3762
514	3986	3754
515	3992	3745
516	3997	3734
517	4005	3727
518	4011	3718
519	4015	3707
520	4021	3697
521	4028	3688
522	4033	3678
523	4038	3668
524	4044	3658
525	4048	3648
526	4053	3638
527	4064	3633
528	4071	3625
529	4077	3615
530	4084	3607
531	4103	3609
532	4121	3611
533	4140	3613
534	4149	3606
535	4156	3597
536	4162	3589
537	4170	3581
538	4179	3574
539	4187	3566
540	4196	3560
541	4203	3552
542	4210	3543
543	4222	3539
544	4226	3528
545	4236	3522
546	4243	3514
547	4254	3508
548	4259	3498
549	4265	3490
550	4273	3482
551	4279	3473
552	4288	3466
553	4299	3461
554	4304	3451
555	4309	3441
556	4318	3434
557	4321	3423
558	4330	3416
559	4334	3405
560	4340	3396
561	4348	3388
562	4352	3378
563	4360	3371
564	4365	3361
565	4373	3353
566	4378	3343
567	4383	3333
568	4389	3324
569	4396	3317
570	4405	3309
571	4409	3299
572	4413	3288
573	4421	3281
574	4425	3270
575	4429	3260
576	4437	3253
577	4441	3243
578	4446	3232
579	4452	3224
580	4458	3215
581	4468	3209
582	4471	3198
583	4481	3192
584	4488	3184
585	4492	3174
586	4506	3170
587	4516	3164
588	4521	3154
589	4528	3147
590	4534	3138
591	4546	3133
592	4551	3123
593	4559	3116
594	4568	3109
595	4577	3102
596	4582	3093
597	4590	3086
598	4596	3077
599	4600	3066
600	4605	3057
601	4611	3048
602	4614	3038
603	4621	3029
604	4626	3020
605	4629	3010
606	4637	3002
607	4642	2993
608	4646	2983
609	4651	2974
610	4657	2965
611	4661	2955
612	4666	2946
613	4674	2938
614	4678	2929
615	4686	2921
616	4691	2912
617	4700	2905
618	4706	2896
619	4713	2888
620	4719	2880
621	4726	2872
622	4733	2864
623	4737	2854
624	4745	2847
625	4751	2838
626	4756	2829
627	4764	2822
628	4769	2813
629	4779	2807
630	4783	2797
631	4788	2788
632	4794	2779
633	4800	2771
634	4805	2762
635	4810	2753
636	4814	2743
637	4820	2735
638	4825	2726
639	4829	2716
640	4834	2707
641	4839	2698
642	4844	2689
643	4850	2681
644	4855	2672
645	4860	2663
646	4866	2654
647	4873	2647
648	4878	2638
649	4883	2629
650	4890	2621
651	4894	2612
652	4899	2603
653	4905	2595
654	4910	2586
655	4917	2578
656	4922	2569
657	4929	2562
658	4936	2554
659	4941	2545
660	4950	2538
661	4957	2531
662	4967	2524
663	4977	2518
664	4984	2510
665	4988	2501
666	4995	2493
667	5000	2485
668	5007	2477
669	5012	2468
670	5015	2459
671	5021	2451
672	5026	2442
673	5032	2434
674	5040	2426
675	5045	2418
676	5049	2409
677	5054	2400
678	5061	2392
679	5074	2387
680	5078	2378
681	5086	2371
682	5092	2363
683	5100	2356
684	5108	2349
685	5115	2341
686	5122	2333
687	5129	2325
688	5135	2317
689	5148	2313
690	5152	2303
691	5159	2296
692	5165	2288
693	5168	2279
694	5175	2271
695	5180	2262
696	5184	2253
697	5190	2245
698	5195	2237
699	5199	2228
700	5207	2221
701	5212	2212
702	5218	2204
703	5225	2197
704	5228	2187
705	5234	2179
706	5240	2171
707	5243	2162
708	5251	2155
709	5257	2147
710	5266	2140
711	5275	2133
712	5280	2125
713	5288	2118
714	5293	2109
715	5300	2102
716	5308	2095
717	5316	2088
718	5323	2080
719	5331	2073
720	5339	2066
721	5345	2058
722	5350	2050
723	5358	2042
724	5364	2034
725	5368	2025
726	5374	2018
727	5380	2010
728	5383	2001
729	5389	1993
730	5395	1985
731	5398	1976
732	5404	1968
733	5409	1960
734	5413	1951
735	5421	1944
736	5426	1936
737	5430	1927
738	5435	1919
739	5442	1912
740	5452	1905
741	5460	1898
742	5466	1890
743	5474	1883
744	5479	1875
745	5485	1867
746	5491	1860
747	5498	1852
748	5505	1845
749	5512	1837
750	5518	1829
751	5523	1821
752	5533	1815
753	5537	1806
754	5541	1798
755	5546	1790
756	5551	1781
757	5557	1774
758	5564	1766
759	5567	1758
760	5571	1749
761	5576	1741
762	5582	1733
763	5586	1725
764	5590	1717
765	5596	1709
766	5600	1701
767	5608	1694
768	5613	1686
769	5616	1677
770	5622	1670
771	5629	1662
772	5632	1654
773	5641	1647
774	5647	1639
775	5652	1631
776	5658	1623
777	5664	1616
778	5675	1610
779	5680	1602
780	5687	1594
781	5696	1588
782	5703	1580
783	5708	1572
784	5716	1565
785	5720	1557
786	5724	1549
787	5730	1541
